ip (hidden),IsHoneypot_new,IsCloud_old,modbusErrorRequestTime (ms),modbusReadRegister,isp_Shodan,org_Shodan,ISP_conclusion,OS_old,OS_accuracy,os_Shodan,tags_Shodan,OS_conclusion,OpenPortNum,hopNum,IpwhoisNetsDescription,domains_Shodan,hostnames_Shodan,city,country,latitude,longitude,vulns
11,honeypot,TRUE,0.680000067,0|0|0,"The Constant Company, LLC","Vultr Holdings, LLC",VPS,,,,"database,self-signed,doublepulsar,honeypot,vpn,cloud",unknown,7,21,"Choopa, LLC",vultrusercontent.com,45.76.145.19.vultrusercontent.com,Singapore,Singapore,1.2931,103.8558,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,MS17-010,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
12,honeypot,TRUE,8.009000063,0|0|0,Hrvatski Telekom d.d.,Hrvatski Telekom d.d.,telecom,,,,"self-signed,honeypot,doublepulsar,database",unknown,7,30,"Hrvatski Telekom d.d.
Croatian Telecom Inc.
This space is statically assigned.",,,Sveti Martin na Muri,Croatia,46.5269,16.375,"CVE-2020-1938,MS17-010"
13,honeypot,TRUE,0.634000063,0|0|0,"The Constant Company, LLC",JW Lucasweg 35,VPS,,,,"database,self-signed,doublepulsar,honeypot,vpn,cloud",unknown,7,24,"JW Lucasweg 35
2031BE, Haarlem
Netherlands",vultrusercontent.com,78.141.208.59.vultrusercontent.com,,United Kingdom,51.4964,-0.1224,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,MS17-010,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
14,honeypot,TRUE,0.855999947,0|0|0,"The Constant Company, LLC","Vultr Holdings, LLC",VPS,,,,"database,self-signed,doublepulsar,honeypot,vpn,cloud",unknown,6,26,"Choopa, LLC",vultrusercontent.com,45.76.177.142.vultrusercontent.com,Singapore,Singapore,1.2931,103.8558,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,MS17-010,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
15,honeypot,TRUE,8.006000042,0|0|0,"The Constant Company, LLC","Vultr Holdings, LLC",VPS,Linux 2.6.32,85,,"iot,honeypot,vpn,cloud",Linux,6,23,"Choopa, LLC",vultrusercontent.com,149.248.62.221.vultrusercontent.com,Matawan,United States,40.4652,-74.2307,
16,honeypot,TRUE,0.962000132,connection failed,"DigitalOcean, LLC","DigitalOcean, LLC",cloud,Linux 2.6.32,96,Debian,cloud,Linux,1,26,"DigitalOcean, LLC",,,Eugene,United States,44.0486,-123.2197,
17,other,TRUE,99.68700004,17578|68|88,AT&T Mobility LLC,Service Provider Corporation,telecom,Tomato 1.27 - 1.28 (Linux 2.4.20),89,,self-signed,proprietary,1,24,Service Provider Corporation,mycingular.net,mobile-166-130-128-99.mycingular.net,Atlanta,United States,33.749,-84.388,
18,honeypot,TRUE,60.39499998,connection failed,,,cloud,Citrix NetScaler load balancer,88,,,proprietary,0,30,blueconnect,,,,Poland,52.2394,21.0362,
19,honeypot,TRUE,2042.677,0|0|0,,,telecom,,,,,unknown,0,22,Korea Telecom,,,Ulsan,Republic of Korea,35.5372,129.3167,
20,honeypot,TRUE,2042.685,0|0|0,,,telecom,,,,,unknown,0,22,Korea Telecom,,,Changwon,Republic of Korea,35.2753,128.6515,
21,honeypot,TRUE,66.58899999,connection failed,,,telecom,,,,,unknown,0,30,Orange Mobile,,,Lipowo,Poland,53.378,20.2731,
22,honeypot,TRUE,2042.705,0|0|0,,,telecom,,,,,unknown,0,23,Korea Telecom,,,Changwon,Republic of Korea,35.2753,128.6515,
23,honeypot,TRUE,130.487,connection failed,,,telecom,,,,,unknown,0,30,Orange Mobile,,,Lipowo,Poland,53.378,20.2731,
24,other,TRUE,105.881,connection failed,,,telecom,Cisco 2600 router (IOS 11.3),94,,,proprietary,0,22,Orange Mobile,,,Trutnowy,Poland,54.241,18.8073,
25,honeypot,TRUE,116.9530001,connection failed,,,telecom,,,,,unknown,0,30,Orange Mobile,,,Lipowo,Poland,53.378,20.2731,
26,other,TRUE,120.0209999,connection failed,,,telecom,F5 BIG-IP Edge Gateway,96,,,proprietary,0,30,Orange Mobile,,,Lipowo,Poland,53.378,20.2731,
27,honeypot,TRUE,739.596,connection failed,,,cloud,Citrix NetScaler load balancer,94,,,proprietary,0,21,Orange Mobile,,,Gruszczyn,Poland,52.435,17.07,
28,honeypot,TRUE,2042.753,0|0|0,,,telecom,,,,,unknown,0,21,Korea Telecom,,,Changwon,Republic of Korea,35.2753,128.6515,
29,other,TRUE,1.010999918,connection failed,,,telecom,Enterasys XP-8000 switch,86,,,proprietary,0,19,DOLSAT CUSTOMERS,,,Bełchatów,Poland,51.3613,19.3724,
30,other,TRUE,0.996999979,0|0|0,DOLSAT sp. z o.o.,DOLSAT sp. z o.o.,telecom,Motorola RFS 6000 wireless switch,95,,ics,proprietary,1,23,DOLSAT CUSTOMERS,dolsat.pl,h-87-199-31-9.dolsat.pl,Bełchatów,Poland,51.3613,19.3724,
31,honeypot,TRUE,0.986000061,0|0|0,,,telecom,Linux 3.2 - 3.8,100,,,Linux,0,26,DOLSAT CUSTOMERS,,,Bełchatów,Poland,51.3613,19.3724,
32,honeypot,TRUE,1.144000053,25|2|88,TTNet A.S.,Turk Telekomunikasyon Anonim Sirketi,telecom,,,,"ics,self-signed",unknown,0,22,TT ADSL-static_ulus,ttnet.com.tr,88.225.235.72.static.ttnet.com.tr,,Turkey,37.9193,30.9924,
33,honeypot,TRUE,14.84899998,0|0|0,,,telecom,,,,,unknown,0,25,"Multimedia Polska S. A.
Cable Internet Voice Provider
Node Gdynia",,,Stargard,Poland,53.3366,15.0321,
34,other,TRUE,134.5,0|0|0,,,telecom,HP ProLiant BL p-Class C-Gbe2 switch,94,,,proprietary,1,30,Baron computer,,,Siroka Niva,Czechia,50.0667,17.4833,
35,other,TRUE,2.520999908,connection failed,,,unknown,Cisco 2600 router (IOS 11.3),92,,,proprietary,0,22,blueconnect,,,,Poland,52.2394,21.0362,
36,other,TRUE,720.878,connection failed,,,telecom,Cisco 2600 router (IOS 11.3),94,,,proprietary,0,22,Orange Mobile,,,Lipowo,Poland,53.378,20.2731,
37,other,TRUE,66.09099984,connection failed,,,telecom,F5 BIG-IP Edge Gateway,96,,,proprietary,0,24,Orange Mobile,,,Głogów,Poland,51.6557,16.089,
38,other,TRUE,90.74500012,connection failed,,,unknown,Linksys BEFSR41 EtherFast router,86,,,proprietary,0,22,,,,Rožňava,Slovakia,48.6601,20.5376,
39,other,TRUE,93.99099994,0|0|0,Stacja-NET Marek Goclowski,Stacja-NET Marek Goclowski,telecom,Linksys BEFSR41 EtherFast router,90,,,proprietary,0,22,,,,Ostrołęka,Poland,53.0788,21.5766,
40,other,TRUE,138.3209999,0|0|0,,,telecom,Linksys BEFSR41 EtherFast router,86,,,proprietary,2,23,MTN Business SA Customer,,,,South Africa,-29,24,
41,other,TRUE,97.977,0|0|0,,,telecom,Linksys BEFSR41 EtherFast router,85,,,proprietary,2,25,XDSL access and service provider in Norway,,,Fredrikstad,Norway,59.2167,10.95,
42,other,TRUE,832.5549998,172|0|88,Net Global Srl,Net Global Srl,telecom,Grandstream GXV3275 video phone,92,,self-signed,proprietary,1,30,,4all.it,90-25-187-213.4all.it,Pernumia,Italy,45.259,11.7872,
43,ICS,TRUE,99.51699996,0|0|0,UAB Mezon,UAB Bite Lietuva,telecom,Papouch TME Ethernet thermometer,87,,,ICS,2,22,,,,Vilnius,Republic of Lithuania,54.6833,25.3167,
44,honeypot,FALSE,10.13599992,connection failed,UAB Bite Lietuva,Bite Lietuva,telecom,,,,ics,unknown,2,22,Bite Lietuva,bitemobile.lt,IN-84-15-135-038.bitemobile.lt,Kaunas,Republic of Lithuania,54.9,23.9,
45,honeypot,FALSE,8.010999918,connection failed,Vodafone Romania S.A.,Vodafone Romania S.A.,telecom,,,,,unknown,1,27,,vodafone.ro,static-sub-mobile-46.97.201.247.vodafone.ro,Braşov,Romania,45.597,25.5525,
46,honeypot,FALSE,8.000999928,connection failed,TURKCELL ILETISIM HIZMETLERI A.S.,TURKCELL INTERNET,telecom,Linux 2.4.20,95,,ics,Linux,1,28,TURKCELL INTERNET,,,,Turkey,41.0214,28.9948,
47,honeypot,FALSE,19.39299989,connection failed,Verizon Business,Service Provider Corporation,telecom,,,,ics,unknown,1,25,Service Provider Corporation,myvzw.com,249.sub-166-141-247.myvzw.com,,United States,37.751,-97.822,
48,honeypot,FALSE,8.00999999,connection failed,TELEFONICA DE ESPANA S.A.U.,TELEFONICA DE ESPANA S.A.U.,telecom,,,,ics,unknown,0,30,Red de servicios IP,rima-tde.net,177.red-193-152-84.staticip.rima-tde.net,,Spain,40.4172,-3.684,
49,honeypot,FALSE,8.013999939,0|0|0,TELEFONICA DE ESPANA S.A.U.,TELEFONICA DE ESPANA S.A.U.,telecom,,,,ics,unknown,4,26,Red de servicios IP,rima-tde.net,131.red-95-124-241.staticip.rima-tde.net,,Spain,40.4172,-3.684,
50,honeypot,FALSE,2036.176,0|0|0,TURKCELL ILETISIM HIZMETLERI A.S.,TURKCELL INTERNET,telecom,,,,,unknown,1,29,TURKCELL INTERNET,,,,Turkey,41.0214,28.9948,
51,honeypot,FALSE,2051.371,0|0|0,,,telecom,,,,,unknown,0,30,"Multimedia Polska S. A.
Cable Internet Voice Provider
Node Gdynia",,,Stargard,Poland,53.3366,15.0321,
52,other,FALSE,131.52,0|0|0,,,unknown,Apple AirPort Extreme WAP,90,,,proprietary,0,22,Service Provider Corporation,,,,United States,37.751,-97.822,
53,ICS,FALSE,127.112,25|39304|16505,Boras Energi Nat AB,Boras Energy Net AB,industry,Linux 2.4.20,100,,,Linux,1,22,"Boras Energy Net AB
Box 1714
SE-501 17 Boras",bornet.net,host169-8.bornet.net,Borås,Sweden,57.7167,12.9167,CVE-2022-41556
54,ICS,FALSE,111.2880001,25|2|88,Boras Energi Nat AB,Boras Energy Net AB,industry,Linux 2.4.20,100,,,Linux,2,24,"Boras Energy Net AB
Box 1714
SE-501 17 Boras",bornet.net,host168-246.bornet.net,Borås,Sweden,57.7167,12.9167,
55,other,FALSE,115.7230001,0|17347|0,PR-TELECOM ZRt.,PRTELECOM CP,telecom,Motorola SURFboard SB6120 or SB6141 cable modem (Linux 2.6.18),94,,"ics,vpn",proprietary,0,21,PRTELECOM CP,prtelecom.hu,host-88-132-57-131.prtelecom.hu,Tata,Hungary,47.65,18.3167,
56,ICS,FALSE,139.6229999,25|2|88,Telia Company AB,Telia Company AB,telecom,Linux 4.4,100,Linux,,Linux,2,24,"Telia Network Services
ISP",telia.com,f81-225-232-133.sore.bredband.telia.com,Trelleborg,Sweden,55.3751,13.1569,"CVE-2018-19052,CVE-2019-11072"
57,ICS,FALSE,77.68799996,23580|17068|0,Data Communication Business Group,"Data Communication Business Group,",telecom,Espressif ESP8266 WiFi system-on-a-chip,85,,ics,ICS,1,23,"Data Communication Business Group,
Chunghwa Telecom Co.,Ltd.
No.21, Sec.1, Xinyi Rd., Taipei City
10048, Taiwan",hinet.net,61-216-164-176.hinet-ip.hinet.net,Taichung,Taiwan,24.1469,120.6839,
58,ICS,FALSE,2055.504,25|2|88,Euskaltel S.A.,Euskaltel S.A.,telecom,,,,ics,unknown,0,30,,euskaltel.es,36.62-99-76.static.clientes.euskaltel.es,,Spain,40.4172,-3.684,
59,other,FALSE,109.7849998,25|2|88,,,telecom,DEC OSF/1 V4.0,86,,,Unix,1,23,Service Provider Corporation,,,,United States,37.751,-97.822,
60,unknown,FALSE,244.151,0|0|0,,,telecom,Linux 3.11 - 4.1,100,,,Linux,0,22,LNPUT657 Puteaux Bloc 1,,,,France,48.8582,2.3387,
61,unknown,FALSE,173.529,0|0|0,,,telecom,,,,,unknown,0,22,LNPUT658 Puteaux Bloc 1,,,,France,48.8582,2.3387,
62,unknown,FALSE,173.7079999,0|0|0,,,telecom,Linux 3.11 - 4.1,92,,,Linux,0,23,LNPUT658 Puteaux Bloc 1,,,,France,48.8582,2.3387,
63,unknown,FALSE,153.7030001,0|0|0,,,telecom,,,,,unknown,0,23,LNAUB656 Aubervilliers Bloc 2,,,,France,48.8582,2.3387,
64,unknown,FALSE,162.3579998,0|0|0,,,telecom,,,,,unknown,0,22,LNMSO656 Montsouris Bloc 1,,,,France,48.8582,2.3387,
65,unknown,FALSE,173.3169999,0|0|0,Orange S.A.,Orange S.A.,telecom,,,,ics,unknown,0,24,LNPUT658 Puteaux Bloc 1,wanadoo.fr,lputeaux-658-1-99-18.w80-13.abo.wanadoo.fr,,France,48.8582,2.3387,
66,unknown,FALSE,171.0079999,0|0|0,,,telecom,,,,,unknown,0,22,LNSTL656 St Lambert Bloc 1,,,,France,48.8582,2.3387,
67,unknown,FALSE,149.4200001,0|0|0,Orange S.A.,Orange S.A.,telecom,Linux 3.11 - 4.1,89,,,Linux,0,30,LNAUB657 Aubervilliers Bloc 2,wanadoo.fr,laubervilliers-657-1-19-6.w80-15.abo.wanadoo.fr,Paris,France,48.8637,2.3615,
68,unknown,FALSE,153.6489999,0|0|0,,,telecom,,,,,unknown,0,30,LNMSO657 Montsouris Bloc 1,,,,France,48.8582,2.3387,
69,unknown,FALSE,154.3510001,0|0|0,,,telecom,,,,,unknown,0,30,LNMSO657 Montsouris Bloc 1,,,,France,48.8582,2.3387,
70,unknown,FALSE,170.7869999,0|0|0,Orange S.A.,Orange S.A.,telecom,Linux 2.6.32,92,,,Linux,0,22,LNPUT657 Puteaux Bloc 2,wanadoo.fr,lputeaux-657-1-272-133.w80-15.abo.wanadoo.fr,,France,48.8582,2.3387,
71,unknown,FALSE,181.3669999,0|0|0,,,telecom,,,,,unknown,0,30,LNPUT656 Puteaux Bloc 2,,,,France,48.8582,2.3387,
72,unknown,FALSE,165.698,0|0|0,Orange S.A.,Orange S.A.,telecom,Linux 3.11 - 4.1,100,,ics,Linux,0,20,LNPUT658 Puteaux Bloc 1,wanadoo.fr,lputeaux-658-1-118-221.w193-248.abo.wanadoo.fr,,France,48.8582,2.3387,
73,other,FALSE,152.6099999,1|2|88,"O2 Czech Republic, a.s.","O2 Czech Republic, a.s.",telecom,Axceint Uptiva backup appliance,90,,"ics,vpn",proprietary,0,28,XDSL NETWORK-ADSL,o2.cz,88-102-4-155.rch.o2.cz,Prague,Czechia,50.0833,14.4667,
74,unknown,FALSE,104.881,0|2|0,"Telia Lietuva, AB",UAB Viciunu grupe,telecom,,,,,unknown,0,22,UAB Viciunu grupe,zebra.lt,81-7-123-185.static.zebra.lt,Kaunas,Republic of Lithuania,54.9,23.9,"CVE-2010-2730,CVE-2010-3972,CVE-2010-1899"
75,other,FALSE,117.4330001,176|2|88,Net Global Srl,Net Global Srl,telecom,Brother MFC-J6510DW printer,86,,,proprietary,1,22,,4all.it,14-20-187-213.4all.it,Padova,Italy,45.4167,11.8833,
76,ICS,FALSE,110.6200001,25|2|88,,,telecom,OpenBSD 5.9,94,,,Unix,0,22,COOPERATIVAS DE CALAMUCHITA - CONSORCIO DE COOPERACIN,,,Villa General Belgrano,Argentina,-31.9167,-64.5833,
77,unknown,FALSE,165.4580002,0|0|0,,,telecom,,,,,unknown,0,22,Romtelecom Data Network,,,Baia de Aries,Romania,46.3805,23.2811,
78,ICS,FALSE,137.28,52|2|88,,,telecom,,,,,unknown,1,28,CLIENTE ANTEL URUGUAY,,,,Uruguay,-33,-56,
79,unknown,FALSE,181.5510001,0|0|0,,,telecom,OpenBSD 4.0,88,,,Unix,0,26,"Telecom Italia S.p.A.
Alice - Smart
Services",,,Courmayeur,Italy,45.7966,6.9689,
80,unknown,FALSE,326.586,4|32|21,Telecom Italia S.p.A.,Telecom Italia S.p.A.,telecom,,,,,unknown,2,22,NAS DHCP Pool,telecomitalia.it,host-79-60-44-246.business.telecomitalia.it,Genoa,Italy,44.4167,8.95,
81,ICS,FALSE,251.777,25|2|88,Vodafone Romania S.A.,Vodafone Romania S.A.,telecom,Linux 3.10,89,,"ics,self-signed",Linux,1,27,,,,Braşov,Romania,45.597,25.5525,
82,ICS,FALSE,123.99,25|2|88,,,telecom,CMI Genus NEMA terminal,90,,,ICS,0,30,"Telia Network Services
ISP",,,,Sweden,59.3247,18.056,
83,ICS,FALSE,123.859,25|2|88,,,telecom,CMI Genus NEMA terminal,90,,,ICS,0,22,"Telia Network Services
ISP",,,,Sweden,59.3247,18.056,
84,ICS,FALSE,215.2869999,25|2|88,Vodafone Romania S.A.,Vodafone Romania S.A.,telecom,Linux 3.0,92,,self-signed,Linux,3,22,,vodafone.ro,static-sub-mobile-46.97.206.95.vodafone.ro,Iași,Romania,47.1667,27.6,
85,unknown,FALSE,254.0469999,0|0|0,Vodafone Romania S.A.,Vodafone Romania S.A.,telecom,Linux 3.0 - 3.2,92,Linux,self-signed,Linux,2,22,,vodafone.ro,static-sub-mobile-46.97.205.111.vodafone.ro,Iași,Romania,47.1667,27.6,
86,ICS,FALSE,183.063,25|2|88,Vodafone Romania S.A.,Vodafone Romania S.A.,telecom,Linux 3.10,89,,"ics,self-signed",Linux,3,22,,vodafone.ro,static-sub-mobile-46.97.207.234.vodafone.ro,Iași,Romania,47.1667,27.6,
87,other,FALSE,202.0869999,29|0|24,Vodafone Romania S.A.,Vodafone Romania S.A.,telecom,OpenWrt Designated Driver (Linux 4.4),92,,"ics,self-signed",proprietary,3,22,,vodafone.ro,static-sub-mobile-46.97.207.230.vodafone.ro,Iași,Romania,47.1667,27.6,
88,ICS,FALSE,409.408,25|2|88,Vodafone Romania S.A.,Vodafone Romania S.A.,telecom,Linux 3.10,89,,"ics,self-signed",Linux,3,28,,vodafone.ro,static-sub-mobile-46.97.207.229.vodafone.ro,Iași,Romania,47.1667,27.6,
89,other,FALSE,205.0640001,25|2|88,,,unknown,D-Link DSL-2890AL ADSL router,100,,,proprietary,0,22,,,,Braşov,Romania,45.597,25.5525,
90,ICS,FALSE,149.9070001,25|2|88,,,unknown,,,,,unknown,0,23,FTIP003346723 F P McCann,,,Pembroke Dock,United Kingdom,51.6919,-4.9508,
91,unknown,FALSE,86.65700006,25|2|27,,,telecom,Linux 3.2 - 3.8,96,,,Linux,1,30,"R Cable y Telecomunicaciones Galicia S.A.
A Coruna
Galicia
Spain",,,Redondela,Spain,42.2834,-8.6096,
92,ICS,FALSE,247.2359998,25|2|88,Vodafone Romania S.A.,Vodafone Romania S.A.,telecom,Linux 3.0 - 3.2,90,,"ics,self-signed",Linux,1,22,,,,Braşov,Romania,45.597,25.5525,
93,other,FALSE,32.75,25|2|88,Vodafone Romania S.A.,Vodafone Romania S.A.,telecom,Kyocera CopyStar CS 255 printer,96,,"ics,self-signed",proprietary,1,27,,vodafone.ro,static-sub-mobile-46.97.207.231.vodafone.ro,Iași,Romania,47.1667,27.6,
94,unknown,FALSE,162.237,25|1|1,Vodafone Romania S.A.,Vodafone Romania S.A.,telecom,,,,self-signed,unknown,1,27,,,,Bucharest,Romania,44.4333,26.1,
95,unknown,FALSE,164.8329999,25|25|25,Vodafone Romania S.A.,Vodafone Romania S.A.,telecom,,,,self-signed,unknown,1,24,,,,Bucharest,Romania,44.4333,26.1,
96,other,FALSE,97.44499993,25|2|88,Nostravant S.L.L.,Nostravant S.L.L.,,Grandstream GXV3275 video phone,91,,,proprietary,2,22,,,,Castelló de la Plana,Spain,40.2108,0.0272,
97,unknown,FALSE,169.8299999,25|68|68,Vodafone Romania S.A.,Vodafone Romania S.A.,telecom,,,,self-signed,unknown,1,22,,,,Bucharest,Romania,44.4333,26.1,
98,ICS,FALSE,97.704,25|2|88,"Salina Spavinaw Telephone Company, Inc","Salina Spavinaw Telephone Company, Inc",telecom,CMI Genus NEMA terminal,90,,ics,ICS,0,22,"Salina Spavinaw Telephone Company, Inc",,,Locust Grove,United States,36.1214,-95.1688,
