ip (hidden),isHoneypot_new,IsCloud_old,IpwhoisNetsDescription,ISP_conclusion,OS_old,OS_accuracy,os_Shodan,tags_Shodan,OS_conclusion,OpenPortNum,hopNum,atgSUPER,atgUNLEAD,atgDIESEL,atgPREMIUM,atgTwoTimesCompare,domains_Shodan,hostnames_Shodan,isp_Shodan,org_Shodan,atgProduct1FirstTimeVolumeTC,atgProduct1SecondTimeVolumeTC,atgProduct1FirstTimeULLAGE,atgProduct1SecondTimeULLAGE,atgProduct2FirstTimeVolumeTC,atgProduct2SecondTimeVolumeTC,atgProduct2FirstTimeULLAGE,atgProduct2SecondTimeULLAGE,atgProduct3FirstTimeVolumeTC,atgProduct3SecondTimeVolumeTC,atgProduct3FirstTimeULLAGE,atgProduct3SecondTimeULLAGE,atgProduct4FirstTimeVolumeTC,atgProduct4SecondTimeVolumeTC,atgProduct4FirstTimeULLAGE,atgProduct4SecondTimeULLAGE,city,country,latitude,longitude,vulns_Shodan
11,honeypot,TRUE,Alibaba.com LLC,cloud,Linux 2.6.32,96,,,Linux,7,23,1,1,1,0,FALSE,,,,,4645,1259,4552,6692,7846,2168,7391,9496,4182,8862,9810,5224,5403,7641,9810,5224,Melbourne,Australia,-37.8103,144.9544,
12,honeypot,TRUE,"DigitalOcean, LLC",cloud,Linux 2.6.32,95,Linux,"cloud,database",Linux,1,23,1,1,1,0,FALSE,visualtez.com,acurast.visualtez.com,"DigitalOcean, LLC","DigitalOcean, LLC",5410,0,7134,0,5624,0,6522,0,7025,0,4623,0,6422,0,4623,0,New York,United States,40.7214,-74.0052,"CVE-2022-4450,CVE-2022-0778,CVE-2022-1292,CVE-2021-23840,CVE-2021-23841,CVE-2023-0286,CVE-2021-3711,CVE-2022-2068,CVE-2023-0215,CVE-2022-2097,CVE-2023-0464,CVE-2020-1971,CVE-2022-4304,CVE-2020-1967,CVE-2021-3712,CVE-2021-3449,CVE-2021-4160"
13,honeypot,TRUE,"Choopa, LLC",VPS,,,,"honeypot,vpn,self-signed,cloud,database",unknown,7,22,1,1,1,0,FALSE,vultrusercontent.com,149.28.175.182.vultrusercontent.com,"The Constant Company, LLC","Vultr Holdings, LLC",1815,5627,8838,4690,3563,4812,8616,4228,3954,4470,3310,9915,7119,7839,3310,9915,Sydney,Australia,-33.9032,150.9677,
14,honeypot,TRUE,Linode,VPS,Linux 2.6.32,94,,cloud,Linux,6,23,1,1,1,0,FALSE,"uvvu.pw,linodeusercontent.com","uvvu.pw,172-105-255-51.ip.linodeusercontent.com","Linode, LLC",Linode,6498,1245,8937,4933,4624,8769,4075,6277,1500,5907,4556,6191,5439,2708,4556,6191,,Japan,35.69,139.69,
15,honeypot,TRUE,,cloud,Linux 2.6.32,96,Windows,,Windows,7,24,1,1,1,0,FALSE,,,"Alibaba (US) Technology Co., Ltd.",ALICLOUD-UAE,4057,2674,8482,8780,6279,2491,3487,4024,6507,5805,5961,9873,2378,7244,5961,9873,Dubai,United Arab Emirates,25.2582,55.3047,CVE-2014-4078
16,honeypot,TRUE,"Choopa, LLC",VPS,Linux 2.6.32,96,,"honeypot,vpn,self-signed,cloud,database",Linux,7,24,1,1,1,0,FALSE,vultrusercontent.com,45.63.90.231.vultrusercontent.com,"The Constant Company, LLC","Vultr Holdings, LLC",1256,7306,9722,9161,1642,2940,3024,5644,7176,6961,4658,6564,2525,1693,4658,6564,San Jose,United States,37.3387,-121.8914,
17,honeypot,TRUE,Amazon Technologies Inc.,cloud,,,,,unknown,0,25,1,1,1,0,FALSE,,,,,7586,0,3244,0,2618,0,8555,0,3042,0,7720,0,3908,0,7720,0,Boardman,United States,45.8696,-119.688,
18,honeypot,TRUE,Microsoft Corporation,cloud,Linux 2.6.32,88,,"database,self-signed,medical,doublepulsar,honeypot,vpn,cloud",Linux,7,30,1,1,1,0,FALSE,example.com,example.com,Microsoft Corporation,Microsoft Corporation,4672,7964,7122,9170,8745,8112,7295,6253,1266,3382,7087,6915,8804,2026,7087,6915,,United States,47.6062,-122.3321,"CVE-2020-1938,MS17-010"
19,honeypot,TRUE,Amazon Technologies Inc.,cloud,Linux 4.0,95,,,Linux,6,30,1,1,1,0,FALSE,,,,,4758,7039,5925,8382,3574,6472,5668,8047,8469,1256,8373,8572,2091,3105,8373,8572,San Jose,United States,37.3388,-121.8914,
20,honeypot,TRUE,Google LLC,cloud,Linux 2.6.32,93,Ubuntu,cloud,Linux,0,27,1,1,1,0,FALSE,googleusercontent.com,137.71.202.35.bc.googleusercontent.com,Google LLC,Google LLC,7052,6429,9988,8331,9022,3470,3913,9329,1213,7046,9662,5052,1115,1978,9662,5052,,United States,38.6582,-77.2497,
21,honeypot,TRUE,Amazon Technologies Inc.,cloud,,,,,unknown,1,27,1,1,1,0,FALSE,,,,,2645,2617,9187,4620,6297,8072,7755,5356,6966,6539,4621,4107,5078,8162,4621,4107,,United States,37.751,-97.822,
22,honeypot,TRUE,Microsoft Corporation,cloud,Linux 2.6.32,88,,,Linux,0,26,1,1,1,0,FALSE,,,,,5074,2952,5856,6342,1135,5869,9360,3803,1552,7775,8378,9407,7405,1106,8378,9407,Sydney,Australia,-33.8612,151.1982,
23,honeypot,TRUE,Amazon Technologies Inc.,cloud,,,,,unknown,0,30,1,1,1,0,FALSE,,,,,8512,0,4415,0,2605,0,3883,0,5246,0,8590,0,4570,0,8590,0,Dublin,Ireland,53.3331,-6.2489,
24,honeypot,TRUE,"DigitalOcean, LLC",cloud,Linux 2.6.32,96,Ubuntu,cloud,Linux,0,23,1,1,1,0,FALSE,,,"DigitalOcean, LLC","DigitalOcean, LLC",6356,5189,3337,4853,1048,8287,4478,8888,1046,3958,5569,6544,7304,1223,5569,6544,New York,United States,40.7214,-74.0052,
25,honeypot,TRUE,"Choopa, LLC",VPS,,,,"database,self-signed,doublepulsar,honeypot,vpn,cloud",unknown,7,27,1,1,1,0,FALSE,vultrusercontent.com,45.77.243.97.vultrusercontent.com,"The Constant Company, LLC","Vultr Holdings, LLC",3653,7536,7800,9596,8623,7620,3054,4020,4058,8937,4636,9704,4338,5442,4636,9704,Singapore,Singapore,1.2931,103.8558,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,MS17-010,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
26,honeypot,TRUE,Amazon Technologies Inc.,cloud,Linux 2.6.32,95,,"database,self-signed,doublepulsar,honeypot,vpn,cloud",Linux,7,30,1,1,1,0,FALSE,"example.com,amazonaws.com","ec2-35-183-29-150.ca-central-1.compute.amazonaws.com,example.com","Amazon.com, Inc.",Amazon Data Services Canada,6724,0,9380,0,8408,0,6747,0,7705,0,8581,0,4428,0,8581,0,Montreal,Canada,45.5,-73.5833,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,MS17-010,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
27,honeypot,TRUE,"DigitalOcean, LLC",cloud,Linux 2.6.32,96,,,Linux,0,26,1,1,1,0,FALSE,,,,,2226,2289,5890,5143,5374,2856,8605,8837,4207,7472,5788,7656,7794,3191,5788,7656,New York,United States,40.7143,-74.006,
28,honeypot,TRUE,"DigitalOcean, LLC",cloud,Linux 2.6.32,96,,cloud,Linux,7,26,1,1,1,0,FALSE,kx0.eu,kx0.eu,"DigitalOcean, LLC","DigitalOcean, LLC",7159,5361,4584,3596,2569,7736,7484,4339,6585,3352,4165,8295,2287,5455,4165,8295,,United States,37.751,-97.822,
29,honeypot,TRUE,Google LLC,cloud,,,,,unknown,2,30,1,1,1,0,FALSE,,,,,3896,6956,3123,3302,7757,4831,6656,4934,2252,2575,3964,4872,8109,8101,3964,4872,,United States,37.751,-97.822,
30,honeypot,TRUE,Google LLC,cloud,Linux 2.6.32,93,,cloud,Linux,0,30,1,1,1,0,FALSE,googleusercontent.com,114.67.105.34.bc.googleusercontent.com,Google LLC,Google LLC,6485,7575,3423,6762,5282,5010,7360,9024,8148,5020,6051,6899,3803,6634,6051,6899,,United States,37.751,-97.822,
31,honeypot,TRUE,Amazon Technologies Inc.,cloud,Linux 2.6.32,94,,"honeypot,vpn,self-signed,cloud,database",Linux,7,30,1,1,1,0,FALSE,"example.com,amazonaws.com","example.com,ec2-15-161-138-182.eu-south-1.compute.amazonaws.com","Amazon.com, Inc.",Amazon Data Services Italy,5195,7625,6762,3911,7392,1910,3132,9450,1220,3700,9607,6609,7361,3814,9607,6609,,United States,37.751,-97.822,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
32,honeypot,TRUE,Amazon Technologies Inc.,cloud,,,,,unknown,0,27,1,1,1,0,FALSE,,,,,7811,5718,9991,7485,6184,4744,6580,5066,5665,1836,7611,3311,7514,4008,7611,3311,Dublin,Ireland,53.3331,-6.2489,
33,honeypot,TRUE,Google LLC,cloud,,,Windows (Build 10.0.17763),"self-signed,cloud",Windows,7,27,1,1,1,0,FALSE,googleusercontent.com,165.27.240.35.bc.googleusercontent.com,Google LLC,Google LLC,7638,5631,4276,5667,3199,7307,4919,3167,1803,1321,6595,6876,2983,4584,6595,6876,Mountain View,United States,37.4192,-122.0574,
34,honeypot,TRUE,Amazon Technologies Inc.,cloud,Linux 2.6.32,96,,"honeypot,vpn,self-signed,cloud,database",Linux,7,30,1,1,1,0,FALSE,"example.com,amazonaws.com","ec2-15-236-211-108.eu-west-3.compute.amazonaws.com,example.com","Amazon.com, Inc.",Amazon Data Services France,6919,4802,3913,3300,3553,4427,3721,7173,6591,2065,4863,9838,5994,5947,4863,9838,,United States,37.751,-97.822,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
35,honeypot,TRUE,Amazon Technologies Inc.,cloud,,,,,unknown,0,27,1,1,1,0,FALSE,,,,,5324,3884,7142,8484,4127,5170,6996,7649,6830,5224,7892,5275,7092,5704,7892,5275,Boardman,United States,45.8696,-119.688,
36,honeypot,TRUE,"DigitalOcean, LLC",cloud,Linux 2.6.32,96,Linux,cloud,Linux,2,27,1,1,1,0,FALSE,nuttylion.com,"nuttylion.com,www.nuttylion.com","DigitalOcean, LLC","DigitalOcean, LLC",3208,4397,4947,9905,6648,2239,6280,8505,8995,1871,9888,3002,1017,7105,9888,3002,New York,United States,40.7214,-74.0052,
37,honeypot,TRUE,Amazon Technologies Inc.,cloud,,,,"database,self-signed,doublepulsar,honeypot,vpn,cloud",unknown,7,26,1,1,1,0,FALSE,"example.com,amazonaws.com","ec2-13-245-15-85.af-south-1.compute.amazonaws.com,example.com","Amazon.com, Inc.",Amazon Data Services South Africa,8085,3259,4499,9427,3572,8763,8424,5305,5104,3782,3936,9930,9016,2814,3936,9930,Seattle,United States,47.6344,-122.3422,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,MS17-010,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
38,honeypot,TRUE,Amazon Technologies Inc.,cloud,,,,,unknown,0,26,1,1,1,0,FALSE,,,,,6036,3811,4870,6420,2363,3307,3009,7641,5860,3856,4729,7468,1735,7804,4729,7468,Ashburn,United States,39.0481,-77.4728,
39,honeypot,TRUE,"JW Lucasweg 35
2031BE, Haarlem
Netherlands",VPS,,,,"honeypot,vpn,self-signed,cloud,database",unknown,7,27,1,1,1,0,FALSE,vultrusercontent.com,95.179.133.246.vultrusercontent.com,"The Constant Company, LLC",JW Lucasweg 35,6886,2258,6644,9317,3066,8742,7607,5872,7021,8549,4504,5234,5433,2250,4504,5234,Amsterdam,Netherlands,52.3904,4.6563,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
40,honeypot,TRUE,Amazon Technologies Inc.,cloud,Linux 2.6.32,94,,"honeypot,self-signed,cloud,database",Linux,7,26,1,1,1,1,FALSE,amazonaws.com,ec2-35-162-182-156.us-west-2.compute.amazonaws.com,"Amazon.com, Inc.","Amazon.com, Inc.",4350,1577,3102,9970,1689,3700,5244,3137,7729,8390,5009,3583,1405,2829,5009,3583,Boardman,United States,45.8696,-119.688,"CVE-2008-2939,CVE-2004-0488,CVE-2017-9798,CVE-2012-0102,CVE-2012-0101,CVE-2007-4465,CVE-2015-3183,CVE-2022-28330,CVE-2006-5752,CVE-2012-0114,CVE-2004-0809,CVE-2012-0053,CVE-2016-8612,CVE-2021-44790,CVE-2011-3639,CVE-2007-6388,CVE-2004-0885,CVE-2009-4028,CVE-2022-22719,CVE-2005-2088,CVE-2011-4317,CVE-2004-0113,CVE-2021-34798,CVE-2003-1307,CVE-2004-0751,CVE-2001-1556,CVE-2007-3304,CVE-2004-1834,CVE-2005-1268,CVE-2015-2575,CVE-2022-31813,CVE-2008-0005,CVE-2011-4415,CVE-2007-3847,CVE-2009-1891,CVE-2006-4154,CVE-2010-0434,CVE-2011-3607,MS17-010,CVE-2004-0747,CVE-2012-0075,CVE-2010-3682,CVE-2004-0748,CVE-2004-0942,CVE-2006-3747,CVE-2008-2384,CVE-2011-0419,CVE-2014-0231,CVE-2005-2970,CVE-2009-1195,CVE-2022-30556,CVE-2011-3192,CVE-2021-39275,CVE-2009-0819,CVE-2008-2364,CVE-2010-0425,CVE-2010-1621,CVE-2022-29404,CVE-2010-1626,CVE-2004-0174,CVE-2011-3368,CVE-2008-2079,CVE-2009-3094,CVE-2009-3095,CVE-2022-22721,CVE-2006-20001,CVE-2004-0263,CVE-2021-40438,CVE-2007-5000,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2022-22720,CVE-2012-0490,CVE-2008-3963,CVE-2007-6750,CVE-2008-2168,CVE-2013-1862,CVE-2009-2446,CVE-2012-0484,CVE-2005-3352,CVE-2005-3357,CVE-2007-5925,CVE-2008-7247,CVE-2012-0087,CVE-2010-3834,CVE-2010-3836,CVE-2010-3837,CVE-2009-4019,CVE-2010-3833,CVE-2022-37436,CVE-2010-3838,CVE-2008-0226,CVE-2004-0786,CVE-2012-0031,CVE-2017-9788,CVE-2007-6203,CVE-2008-4098,CVE-2005-2700,CVE-2015-0228,CVE-2009-3555,CVE-2004-0493,CVE-2003-0020,CVE-2022-28614,CVE-2022-28615,CVE-2010-3677,CVE-2005-2728"
41,honeypot,TRUE,"Choopa, LLC",VPS,Linux 2.6.32,90,,"honeypot,vpn,self-signed,cloud,database",Linux,7,24,1,1,1,0,FALSE,vultrusercontent.com,136.244.79.232.vultrusercontent.com,"The Constant Company, LLC","Vultr Holdings, LLC",7814,7321,9684,6991,2012,8579,5450,4622,7846,1209,4897,9083,2366,5951,4897,9083,New London,United States,41.3452,-72.1088,
42,honeypot,TRUE,Alibaba.com LLC,cloud,Linux 2.6.32,96,,,Linux,7,27,1,1,1,0,FALSE,,,,,8198,3443,4384,6158,4101,2301,3192,6976,1527,6249,7200,3323,2530,2992,7200,3323,"Xi""an",China,34.2583,108.9286,
43,honeypot,TRUE,"Choopa, LLC",VPS,,,,"honeypot,self-signed,cloud,database",unknown,7,27,1,1,1,0,FALSE,vultrusercontent.com,149.248.62.227.vultrusercontent.com,"The Constant Company, LLC","Vultr Holdings, LLC",4632,8980,4132,4625,5818,1867,6975,9117,5005,9047,3066,3909,5353,4169,3066,3909,Matawan,United States,40.4652,-74.2307,"CVE-2020-28016,CVE-2010-2024,CVE-2020-28010,CVE-2020-28013,CVE-2020-28012,CVE-2020-28015,CVE-2020-28014,CVE-2020-28017,CVE-2010-2023,CVE-2022-37452,CVE-2022-37451,CVE-2017-1000369,CVE-2011-0017,CVE-2021-27216,CVE-2011-1764,CVE-2020-28024,CVE-2020-28025,CVE-2020-28026,CVE-2020-28020,CVE-2020-28021,CVE-2020-28022,CVE-2020-28023,CVE-2016-1531,CVE-2020-28007,CVE-2016-9963,CVE-2020-28008,CVE-2020-28009,CVE-2020-28011,CVE-2010-4345,CVE-2010-4344,CVE-2018-6789,CVE-2014-2957,CVE-2014-2972,CVE-2019-15846,CVE-2020-8015,CVE-2020-12783"
44,honeypot,TRUE,Linode,VPS,Linux 2.6.32 or 3.10,94,Debian,cloud,Linux,6,22,1,1,1,0,FALSE,linodeusercontent.com,23-239-1-139.ip.linodeusercontent.com,"Linode, LLC",Linode,4508,3676,4250,5801,4868,7035,3913,4069,6637,4784,9722,9495,5635,6711,9722,9495,Fremont,United States,37.567,-121.9829,
45,honeypot,TRUE,"DigitalOcean, LLC",cloud,Linux 2.6.32,96,Linux,cloud,Linux,3,27,1,1,1,0,FALSE,generatemoneyathome.com,"www.generatemoneyathome.com,generatemoneyathome.com","DigitalOcean, LLC","DigitalOcean, LLC",8889,3927,4759,8313,3414,1140,6108,5669,6791,2947,6690,5817,4393,4807,6690,5817,Toronto,Canada,43.6683,-79.4205,
46,honeypot,TRUE,Amazon Technologies Inc.,cloud,,,,,unknown,0,30,1,1,1,0,FALSE,,,,,7700,7452,6356,8864,8756,3771,6352,3680,7330,8490,3029,6431,7499,8063,3029,6431,Tokyo,Japan,35.685,139.7514,
47,honeypot,TRUE,"DigitalOcean, LLC",cloud,,,Ubuntu,cloud,Linux,0,30,1,1,1,0,FALSE,,,"DigitalOcean, LLC","DigitalOcean, LLC",3139,7219,5768,6107,2776,1787,9506,3844,5383,6988,3577,4048,3080,1405,3577,4048,,United States,37.751,-97.822,
48,honeypot,TRUE,Amazon Technologies Inc.,cloud,,,,,unknown,0,30,1,1,1,0,FALSE,,,,,5760,1987,3981,4101,1454,6277,3227,8223,2222,6648,7423,4257,6883,8548,7423,4257,Boardman,United States,45.8696,-119.688,
49,honeypot,TRUE,"Choopa, LLC",VPS,Linux 2.6.32,96,,,Linux,7,25,1,1,1,0,FALSE,,,,,2897,8277,5357,5160,2921,5543,4451,4987,2119,4038,7902,6189,8501,8099,7902,6189,Dallas,United States,32.7877,-96.8,
