ip (hidden）,isHoneypot_new,IsCloud_old,ISP_conclusion,OS_conclusion,OS_old,OS_accuracy,os_Shodan,tags_Shodan,OpenPortNum,hopNum,s7NameOfThePLC,s7PlantIdentification,s7SerialNumberOfModule,s7time5After,s7ResponseTime,IpwhoisNetsDescription,domains_Shodan,hostnames_Shodan,isp_Shodan,org_Shodan,city,country,latitude,longitude,vulns_Shodan,identities
18,honeypot,FALSE,hosting,Linux,Linux 2.6.32,91,Ubuntu,self-signed,1,30,"Production Management, H",JJ Essex LLC,88111222,FALSE,0.378250062,,,,firstcolo GmbH,firstcolo GmbH,,Germany,51.2993,9.491,"CVE-2014-0117,CVE-2014-0118,CVE-2017-9798,CVE-2015-3185,CVE-2015-3184,CVE-2015-3183,CVE-2018-5407,CVE-2022-28330,CVE-2022-2068,CVE-2017-7679,CVE-2013-6438,CVE-2020-1927,CVE-2023-0286,CVE-2017-3167,CVE-2016-8612,CVE-2021-44790,CVE-2016-4975,CVE-2020-13938,CVE-2023-0215,CVE-2020-35452,CVE-2022-22719,CVE-2020-1934,CVE-2021-34798,CVE-2022-4304,CVE-2019-1563,CVE-2014-3523,CVE-2013-5704,CVE-2019-17567,CVE-2022-31813,CVE-2014-0231,CVE-2021-26690,CVE-2021-26691,CVE-2019-0220,CVE-2022-30556,CVE-2021-39275,CVE-2014-3581,CVE-2016-0736,CVE-2022-29404,CVE-2018-1312,CVE-2022-22720,CVE-2019-10092,CVE-2014-0226,CVE-2022-22721,CVE-2006-20001,CVE-2017-15710,CVE-2021-3712,CVE-2023-0464,CVE-2017-15715,CVE-2019-10098,CVE-2016-5387,CVE-2021-40438,CVE-2022-23943,CVE-2021-23840,CVE-2021-23841,CVE-2018-1301,CVE-2018-1302,CVE-2020-1968,CVE-2022-36760,CVE-2023-25690,CVE-2020-11985,CVE-2021-4160,CVE-2013-4352,CVE-2022-26377,CVE-2014-0098,CVE-2016-8743,CVE-2022-0778,CVE-2020-1971,CVE-2017-3736,CVE-2017-3737,CVE-2019-1547,CVE-2017-3735,CVE-2022-1292,CVE-2017-3738,CVE-2022-37436,CVE-2018-17199,CVE-2018-0737,CVE-2018-0734,CVE-2018-0732,CVE-2017-9788,CVE-2018-0739,CVE-2014-8109,CVE-2016-2161,CVE-2015-0228,CVE-2019-1552,CVE-2019-1551,CVE-2019-1559,CVE-2018-1283,CVE-2018-1303,CVE-2019-0217,CVE-2022-28615,CVE-2022-28614",
19,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,27,Technodrome,Mouser Factory,88111222,FALSE,0.232500017,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
20,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233500063,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
21,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,29,Technodrome,Mouser Factory,88111222,FALSE,0.234750032,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
22,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.234499991,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
23,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233749986,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
24,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,Ubuntu,cloud,2,14,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.356999993,"DigitalOcean, LLC",,,"DigitalOcean, LLC","DigitalOcean, LLC",Toronto,Canada,43.6683,-79.4205,,
25,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,cloud,3,14,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.29550004,"DigitalOcean, LLC",unmsapp.com,unmsapp.com,"DigitalOcean, LLC","DigitalOcean, LLC",Singapore,Singapore,1.2931,103.8558,,
26,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,Linux,cloud,0,30,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.496999979,"DigitalOcean, LLC","blr-docswrite.com,docswrite.blog","blr-docswrite.com,docswrite.blog","DigitalOcean, LLC","DigitalOcean, LLC",Bengaluru,India,12.9833,77.5833,,
27,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,94,Ubuntu,cloud,2,27,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.627499998,"DigitalOcean, LLC",,,"DigitalOcean, LLC","DigitalOcean, LLC",New York,United States,40.7214,-74.0052,,
28,honeypot,TRUE,cloud,Linux,,,Debian,"honeypot,cloud,database",7,27,Technodrome,Mouser Factory,31209715,FALSE,0.06400001,"Tencent Cloud Computing (Beijing) Co., Ltd
Floor 6, Yinke Building, 38 Haidian St, Haidian District",,,Shenzhen Tencent Computer Systems Company Limited,"Tencent Cloud Computing (Beijing) Co., Ltd",,China,39.9289,116.3883,,
29,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233749986,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
30,honeypot,TRUE,cloud,Linux,,,Ubuntu,cloud,0,26,SNAP7-SERVER,,88111222,TRUE,0.26849997,"DigitalOcean, LLC",,,"DigitalOcean, LLC","DigitalOcean, LLC",Santa Clara,United States,37.3501,-121.9854,,
31,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.28975004,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
32,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,cloud,2,25,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.388499975,"DigitalOcean, LLC",4outdoorfabrics.com,dev2.4outdoorfabrics.com,"DigitalOcean, LLC","DigitalOcean, LLC",,United Kingdom,51.4964,-0.1224,,
33,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,Ubuntu,cloud,0,25,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.357750058,"DigitalOcean, LLC",,,"DigitalOcean, LLC","DigitalOcean, LLC",Jacksonville,United States,30.1438,-81.5401,,
34,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.232500017,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
35,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,29,Technodrome,Mouser Factory,88111222,FALSE,0.233500004,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
36,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,,5,27,SNAP7-SERVER,,88111222,TRUE,0.30675,"DigitalOcean, LLC",,,,,,United States,37.751,-97.822,,
37,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,96,Ubuntu,cloud,3,26,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.307749987,"DigitalOcean, LLC",wpmudev.host,"wpmudev.host,giftcards-scores.wpmudev.host","DigitalOcean, LLC","DigitalOcean, LLC",New York,United States,40.7214,-74.0052,,
38,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233500004,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
39,honeypot,TRUE,cloud,Linux,Linux 4.4,98,,,1,20,SNAP7-SERVER,,S C-C2UR28922012,TRUE,0.266499996,Alibaba.com LLC,,,,,Kuala Lumpur,Malaysia,3.1667,101.7,,
40,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.23299998,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
41,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,21,Technodrome,Mouser Factory,88111222,FALSE,0.233749986,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
42,honeypot,TRUE,cloud,Linux,Linux 4.4,97,,,0,30,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.30250001,"DigitalOcean, LLC",,,,,,United States,37.751,-97.822,,
43,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.235500038,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
44,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233250022,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
45,honeypot,TRUE,unknown,Linux,Linux 3.11 - 4.1,97,,,1,19,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.382499993,,,,,,Amsterdam,Netherlands,52.35,4.9167,,
46,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.232750058,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
47,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.232500017,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
48,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,,3,23,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.37924999,"DigitalOcean, LLC",,,,,Amsterdam,Netherlands,52.35,4.9167,,
49,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,,2,25,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.65049994,"DigitalOcean, LLC",,,,,London,United Kingdom,51.5142,-0.0931,,
50,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,Ubuntu,cloud,1,29,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.376749992,"DigitalOcean, LLC",,,"DigitalOcean, LLC","DigitalOcean, LLC",Slough,United Kingdom,51.5,-0.5833,,
51,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,19,Technodrome,Mouser Factory,88111222,FALSE,0.232499957,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
52,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,,0,30,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.315750062,"DigitalOcean, LLC",,,,,Toronto,Canada,43.6021,-79.5402,,
53,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,22,Technodrome,Mouser Factory,88111222,FALSE,0.234499991,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
54,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.234250009,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
55,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.23300004,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
56,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,19,Technodrome,Mouser Factory,88111222,FALSE,0.234250069,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
57,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,,0,30,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.313749969,"DigitalOcean, LLC",,,,,,United States,37.751,-97.822,,
58,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,"honeypot,cloud",7,20,SAAP7-SERVER,,S C-C2UR28922012,TRUE,1.533499996,"DigitalOcean, LLC",,,"DigitalOcean, LLC","DigitalOcean, LLC",Bengaluru,India,12.9833,77.5833,,
59,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,28,Technodrome,Mouser Factory,88111222,FALSE,0.237500012,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
60,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,30,Technodrome,Mouser Factory,88111222,FALSE,0.23299998,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
61,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.235000014,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
62,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,96,,cloud,0,23,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.366750002,"DigitalOcean, LLC",ardered.com,foro.ardered.com,"DigitalOcean, LLC","DigitalOcean, LLC",New York,United States,40.7214,-74.0052,,
63,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,,1,24,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.521499991,"DigitalOcean, LLC",,,,,New York,United States,40.7267,-73.9981,,
64,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,20,Technodrome,Mouser Factory,88111222,FALSE,0.232750058,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
65,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233500004,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
66,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,"self-signed,devops,cloud",0,30,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.340000033,"DigitalOcean, LLC",,,"DigitalOcean, LLC","DigitalOcean, LLC",Singapore,Singapore,1.2931,103.8558,,
67,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,cloud,0,29,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.415250003,"DigitalOcean, LLC",,,"DigitalOcean, LLC","DigitalOcean, LLC",New York,United States,40.7214,-74.0052,,
68,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.234250009,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
69,honeypot,FALSE,UoM,Linux,Linux 2.6.32 or 3.10,93,,,1,21,Technodrome,Mouser Factory,88111222,FALSE,0.232500017,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
70,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,cloud,0,30,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.403750002,"DigitalOcean, LLC",,,"DigitalOcean, LLC","DigitalOcean, LLC",New York,United States,40.7214,-74.0052,,
71,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.23299998,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
72,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,25,Technodrome,Mouser Factory,88111222,FALSE,0.233250022,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
73,honeypot,TRUE,cloud,Linux,Linux 4.4,100,,,3,26,Technodrome,Mouser Factory,88111222,FALSE,0.137500048,Alibaba.com LLC,,,,,San Mateo,United States,37.526,-122.3558,,
74,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,22,Technodrome,Mouser Factory,88111222,FALSE,0.233250022,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
75,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,cloud,1,18,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.494749904,"DigitalOcean, LLC",,,"DigitalOcean, LLC","DigitalOcean, LLC",New York,United States,40.7214,-74.0052,,
76,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,"cloud,database",3,18,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.508250058,"DigitalOcean, LLC",isho.com,"erp.isho.com,testerp.isho.com","DigitalOcean, LLC","DigitalOcean, LLC",,United States,37.751,-97.822,,
77,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,26,Technodrome,Mouser Factory,88111222,FALSE,0.232749999,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
78,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,26,Technodrome,Mouser Factory,88111222,FALSE,0.231999934,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
79,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,22,Technodrome,Mouser Factory,88111222,FALSE,0.232249975,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
80,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,27,Technodrome,Mouser Factory,88111222,FALSE,0.232500017,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
81,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,26,Technodrome,Mouser Factory,88111222,FALSE,0.232750058,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
82,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,,0,30,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.319499969,"DigitalOcean, LLC",,,,,,United States,37.751,-97.822,,
83,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.232749999,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
84,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,20,Technodrome,Mouser Factory,88111222,FALSE,0.232500017,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
85,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,22,Technodrome,Mouser Factory,88111222,FALSE,0.23299998,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
86,honeypot,FALSE,UoM,Linux,Linux 2.6.32 or 3.10,93,,,1,30,Technodrome,Mouser Factory,88111222,FALSE,0.232749939,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
87,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.232749939,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
88,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.23300004,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
89,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,,3,28,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.29824996,"DigitalOcean, LLC",,,,,Singapore,Singapore,1.2931,103.8558,,
90,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,96,,,0,30,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.313749969,"DigitalOcean, LLC",,,,,Jacksonville,United States,30.1438,-81.5401,,
91,honeypot,TRUE,VPS,Linux,Linux 3.11 - 4.1,100,,,5,23,Technodrome,Mouser Factory,88111222,FALSE,0.428999901,TYO_VULTR_CUST,,,,,,Japan,35.609,139.7302,,
92,honeypot,TRUE,cloud,Linux,Linux 4.4,97,Ubuntu,cloud,3,14,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.289250016,,,,"DigitalOcean, LLC","DigitalOcean, LLC",Amsterdam,Netherlands,52.35,4.9167,,
93,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,cloud,1,20,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.269499958,"DigitalOcean, LLC",salamganeshaitb.com,master.salamganeshaitb.com,"DigitalOcean, LLC","DigitalOcean, LLC",Singapore,Singapore,1.2931,103.8558,,
94,honeypot,TRUE,cloud,Linux,Linux 2.6.32,96,Ubuntu,cloud,0,22,Central Pump,DoE Water Service,88111222,FALSE,0.32524997,"DigitalOcean, LLC",,,"DigitalOcean, LLC","DigitalOcean, LLC",New York,United States,40.7214,-74.0052,,
95,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.231999993,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
96,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,20,Technodrome,Mouser Factory,88111222,FALSE,0.233249962,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
97,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,cloud,4,19,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.291000009,"DigitalOcean, LLC",,,"DigitalOcean, LLC","DigitalOcean, LLC",New York,United States,40.7214,-74.0052,,
98,honeypot,TRUE,cloud,Linux,Linux 3.11 - 4.1,97,,cloud,0,22,SAAP7-SERVER,,S C-C2UR28922012,TRUE,0.418500006,"DigitalOcean, LLC",football.kg,api.football.kg,"DigitalOcean, LLC","DigitalOcean, LLC",New York,United States,40.7214,-74.0052,,
99,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.233250082,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
100,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,23,Technodrome,Mouser Factory,88111222,FALSE,0.23299998,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
101,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,20,Technodrome,Mouser Factory,88111222,FALSE,0.232000053,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
102,honeypot,FALSE,UoM,Linux,Linux 2.6.32,93,,,1,19,Technodrome,Mouser Factory,88111222,FALSE,0.236000001,University of Maryland,,,,,College Park,United States,38.9807,-76.9369,,
103,honeypot,TRUE,VPS,Linux,Linux 3.11 - 4.1,100,,"honeypot,self-signed,cloud,database",5,21,Technodrome,Mouser Factory,88111222,FALSE,0.277999997,SGP_VULTR_CUST,vultrusercontent.com,207.148.123.74.vultrusercontent.com,"The Constant Company, LLC","The Constant Company, LLC",Singapore,Singapore,1.2931,103.8558,"CVE-2009-0819,CVE-2012-0490,CVE-2014-0118,CVE-2022-28614,CVE-2017-9798,CVE-2008-4098,CVE-2012-0102,CVE-2012-0101,CVE-2022-29404,CVE-2015-3183,CVE-2010-1626,CVE-2009-2446,CVE-2010-3682,CVE-2012-0087,CVE-2014-0098,CVE-2007-5925,CVE-2022-28330,CVE-2012-3499,CVE-2012-4558,CVE-2008-7247,CVE-2013-1896,CVE-2016-8612,CVE-2014-0226,CVE-2008-2079,CVE-2010-3836,CVE-2022-22721,CVE-2022-22720,CVE-2010-3834,CVE-2013-5704,CVE-2017-7679,CVE-2010-3837,CVE-2009-4019,CVE-2013-6438,CVE-2010-3833,CVE-2012-2687,CVE-2010-3677,CVE-2022-37436,CVE-2010-3838,CVE-2016-5387,CVE-2008-0226,CVE-2021-40438,CVE-2015-2575,CVE-2022-31813,CVE-2012-0114,CVE-2008-0455,CVE-2017-9788,CVE-2012-0484,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2017-3167,CVE-2021-34798,CVE-2012-0075,CVE-2012-0883,CVE-2017-3169,CVE-2015-0228,CVE-2021-44790,CVE-2008-3963,CVE-2014-0231,CVE-2009-4028,CVE-2013-1862,CVE-2010-1621,CVE-2016-4975,CVE-2006-20001,CVE-2016-8743,CVE-2022-22719,CVE-2022-28615,CVE-2022-30556,CVE-2021-39275",
